OBJECTID,LAD21CD,LAD21NM,LAD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,{CB7275CE-D16E-45F7-8E7D-33032FB9DF9D},70995.7229330668,93717029.9070697
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,{6598062E-357C-4E8D-B117-5D6DE45F75B7},44481.4413849518,53881562.628025
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,{B23F8B9B-4D88-4C21-80D6-8041E2910EF2},96704.0315253802,245069509.42357
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,{64624AEF-6611-4E3C-BBA8-870B0B889E1D},123408.788095676,204932952.708987
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,{310B13B3-F45F-452B-88F1-DDD48C1992F5},107203.152334417,197477768.128264
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,{0F81C5F1-A69A-4C2E-ADD0-85CD315DD8D9},77770.9338001437,79084032.6157127
7,E06000007,Warrington, ,362744,388456,-2.5616701,53.391628,{A5098D1C-1355-429E-AD1D-1B1FDB6A8188},114690.686845761,180627982.923395
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4635999,53.700802,{66FA48FA-E6AD-471B-9F2D-AFB74C19EF5A},65284.9523177377,137022079.422086
9,E06000009,Blackpool, ,332819,436635,-3.0219901,53.82164,{5A10B263-24D3-418D-B649-811AA5A20FE5},34483.4799655354,34870886.4500427
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382001,53.769199,{F8BF6292-6936-42EB-978F-02EA8B41B1AC},64681.104078276,71583611.1153285
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66194999,53.881119,{57643841-534B-4DC0-97CD-3CF764ADF9D3},504081.639206161,2404771586.81277
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,{FA7E60AA-9547-44E4-AB83-8ADEF2277999},93248.4865198867,192622955.911922
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407002,53.58643,{EC102F64-C86E-4A2F-BE7D-096458031B23},244547.837491271,846540130.358074
14,E06000014,York, ,460864,452589,-1.07375,53.96582,{4C04F35F-05AC-4B2C-98F3-DD2E3B09961F},101947.387733639,271931825.229475
15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,{20BD00A0-70CE-4049-BAF9-BE75C785B81C},50037.5273504427,78031123.6712438
16,E06000016,Leicester, ,458946,304594,-1.1303999,52.635921,{5568DE20-A417-4883-A339-57E580A2E7D2},51931.7073368346,73342071.6979175
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.667648,{322A8B38-DB0F-4810-9D07-D2097DFE5EED},125884.932019303,393748906.930668
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,{8A4398EE-799D-4F61-A8C2-36B125A3C502},58724.0327675763,74613555.3419195
