"Area Code","Area Name","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","Other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes","Region","Year"
"E23000013","Cleveland","50708","12456","9","5189","7258","1388","360","23143","5499","2489","3010","3685","419","948","6896","5696","8935","1430","275","1965","756","North East",2016
"E23000008","Durham","43093","13145","6","4555","8584","1240","164","16127","4311","1578","2733","2782","228","547","3878","4381","8093","1048","185","2250","841","North East",2016
"E23000007","Northumbria","118250","31476","13","12178","19285","3313","705","44708","8477","3313","5164","6639","1064","1976","12374","14178","20500","2955","928","11144","2521","North East",2016
"E23000006","Cheshire","60058","16769","6","7835","8928","1594","273","22171","4620","2001","2619","3404","668","1298","6188","5993","8650","2229","340","7159","873","North West",2016
"E23000002","Cumbria","25575","7365","4","3381","3980","963","77","9108","2089","769","1320","1171","163","303","2784","2598","5084","920","145","1503","410","North West",2016
"E23000005","Greater Manchester","245269","59665","52","21886","37727","6409","4168","109736","29045","16867","12178","24257","6527","4546","17237","28124","36336","4139","1607","18758","4451","North West",2016
"E23000003","Lancashire","104318","29460","10","14977","14473","3082","702","46618","12179","5407","6772","9955","1249","1776","8275","13184","17702","2114","361","2906","1373","North West",2016
"E23000004","Merseyside","106858","27892","16","12829","15047","2490","1127","44194","10981","6789","4192","9154","1808","1897","9492","10862","16684","5765","675","6177","1854","North West",2016
"E23000012","Humberside","74134","20104","10","9087","11007","2243","723","32469","9372","3651","5721","5729","608","1913","7476","7371","11938","1340","364","3496","1457","Yorkshire and the Humber",2016
"E23000009","North Yorkshire","36680","9468","6","4635","4827","1340","137","16211","3642","1392","2250","2250","491","1409","4065","4354","5762","1563","206","1358","635","Yorkshire and the Humber",2016
"E23000011","South Yorkshire","111666","24566","111","12227","12228","3303","1285","54257","13295","6814","6481","12861","1708","1229","11830","13334","18002","2379","970","4843","2061","Yorkshire and the Humber",2016
"E23000010","West Yorkshire","229590","62402","38","21677","40687","5690","2311","100529","25833","13729","12104","24301","4311","2550","17141","26393","31309","5026","1412","15763","5148","Yorkshire and the Humber",2016
"E23000018","Derbyshire","53084","12276","13","7099","5164","1637","559","25509","6367","2768","3599","5922","535","810","6055","5820","8027","2127","445","1399","1105","East Midlands",2016
"E23000021","Leicestershire","65717","15121","11","5165","9945","1564","652","33506","8192","4355","3837","8226","865","1850","6493","7880","9312","1179","477","2667","1239","East Midlands",2016
"E23000020","Lincolnshire","36844","7826","13","3958","3855","1157","212","18438","5303","1783","3520","2994","285","1066","4410","4380","5381","1430","347","1322","731","East Midlands",2016
"E23000022","Northamptonshire","52950","14392","6","6495","7891","1613","813","24972","6842","2998","3844","5860","599","992","5182","5497","7402","1265","458","1198","837","East Midlands",2016
"E23000019","Nottinghamshire","76477","19821","12","10204","9605","2245","894","34408","7968","3585","4383","6858","1013","1668","8021","8880","10627","2846","757","3486","1393","East Midlands",2016
"E23000015","Staffordshire","75364","25778","7","10753","15018","2758","577","27458","6027","2768","3259","4853","553","947","6757","8321","11132","2079","525","3251","1806","West Midlands Region",2016
"E23000017","Warwickshire","35471","10135","8","4181","5946","1240","269","16041","3584","1578","2006","3790","362","741","3324","4240","4281","987","286","1577","655","West Midlands Region",2016
"E23000016","West Mercia","78393","25540","12","10120","15408","2972","573","30954","8127","2952","5175","5599","715","1064","7000","8449","9888","2474","633","3856","1503","West Midlands Region",2016
"E23000026","Bedfordshire","42371","10273","8","4389","5876","963","684","20833","4880","2971","1909","5576","521","999","4097","4760","5570","1180","272","2138","458","East",2016
"E23000023","Cambridgeshire","54346","13241","7","4701","8533","1498","523","25829","5017","2110","2907","5052","907","3718","4439","6696","7283","1578","389","3033","972","East",2016
"E23000028","Essex","117934","32697","17","12388","20292","2911","1104","51886","13216","7205","6011","12437","1571","2267","10096","12299","15287","3062","1217","7761","2009","East",2016
"E23000027","Hertfordshire","70533","18863","8","7555","11300","1597","599","29898","5532","2787","2745","6695","1087","1377","7246","7961","9511","3293","497","4813","1462","East",2016
"E23000024","Norfolk","48689","15335","4","5452","9879","1804","377","17336","3803","1425","2378","2358","483","1396","4464","4832","7257","1838","347","3525","870","East",2016
"E23000025","Suffolk","44294","13055","7","4767","8281","1489","264","17262","3947","1356","2591","3317","480","1085","3809","4624","6569","1178","317","3183","977","East",2016
"E23000034","London, City of","5411","882","1","392","489","77","31","3329","246","8","238","175","430","353","654","1471","243","369","42","249","189","London",2016
"E23000001","Metropolitan Police","755536","190547","109","74657","115781","17227","22812","362382","68219","42923","25296","89142","35426","18127","46741","104727","62026","39602","5715","45969","9256","London",2016
"E23000030","Hampshire","143791","47999","13","19369","28617","4687","848","51610","11818","3876","7942","9424","1374","3563","12319","13112","18752","3645","1089","12822","2339","South East",2016
"E23000032","Kent","126008","41774","15","16003","25756","3824","1092","49785","10841","4412","6429","10727","990","1660","11137","14430","19480","2702","623","4427","2301","South East",2016
"E23000031","Surrey","60622","17161","6","6138","11017","1721","282","23471","5438","2709","2729","4575","428","1144","3883","8003","8734","1846","370","5961","1076","South East",2016
"E23000033","Sussex","101729","29828","15","12038","17775","3220","834","38407","7205","3160","4045","6216","1554","2335","8345","12752","13632","3339","1162","8997","2310","South East",2016
"E23000029","Thames Valley","135489","30118","11","12396","17711","4515","968","68777","11735","4712","7023","12973","3741","5266","16017","19045","18757","4879","1068","4089","2318","South East",2016
"E23000036","Avon & Somerset","130959","36759","10","10885","25864","3211","1101","53547","11813","5610","6203","11315","1376","2917","12426","13700","15109","3155","534","15997","1546","South West",2016
"E23000035","Devon & Cornwall","81893","25821","9","11642","14170","3058","382","28856","6038","2656","3382","4703","825","807","6620","9863","13632","3548","608","4669","1319","South West",2016
"E23000039","Dorset","43990","12499","11","4208","8280","1287","221","19394","4545","1531","3014","3403","710","916","4172","5648","6330","1645","282","1752","580","South West",2016
"E23000037","Gloucestershire","29725","6465","4","4080","2381","897","283","15473","4132","1904","2228","2931","298","812","3436","3864","4359","922","151","873","302","South West",2016
"E23000038","Wiltshire","40464","12584","1","5499","7084","1455","197","15537","3800","1458","2342","3163","409","769","3541","3855","5879","1218","291","2702","601","South West",2016
"W15000004","Dyfed-Powys","22536","7126","5","3109","4012","986","50","6836","1551","656","895","902","90","152","1517","2624","3890","2103","157","869","519","Wales",2016
"W15000002","Gwent","39609","11054","3","4182","6869","828","183","15866","3859","1565","2294","3345","238","372","3581","4471","6938","1312","167","2404","857","Wales",2016
"W15000001","North Wales","40667","13489","7","5889","7593","1839","135","14186","3287","1375","1912","1951","193","446","3851","4458","7099","1296","228","1536","859","Wales",2016
"W15000003","South Wales","96777","28185","20","11703","16462","2320","338","37916","7417","3192","4225","8585","1130","1998","8880","9906","13376","3672","460","8423","2087","Wales",2016
NA,"British Transport Police","50235","8465","9","2325","6131","1569","354","22848","388","2","386","922","5185","5414","2296","8643","6047","1579","371","8161","841","British Transport Police",2016
"E23000013","Cleveland","55329","13780","3","5526","5822","1613","430","25186","5501","3825","1676","4229","492","1010","7640","6314","9542","1280","315","2325","858","North East",2017
"E23000008","Durham","60541","20817","2","5719","7562","1968","232","19057","5003","3100","1903","3487","292","520","4265","5490","10159","1107","246","5277","1678","North East",2017
"E23000007","Northumbria","149023","41641","18","12376","17075","4343","787","52602","9716","5672","4044","7901","1486","2276","14505","16718","23108","2700","1018","19276","3548","North East",2017
"E23000006","Cheshire","82443","24253","3","9430","9076","2235","371","25057","4898","3120","1778","3880","568","1395","7522","6794","10158","2310","412","16112","1535","North West",2017
"E23000002","Cumbria","27046","8476","3","3689","3778","1217","84","9056","2001","1064","937","1125","162","277","2835","2656","5205","776","197","1505","530","North West",2017
"E23000005","Greater Manchester","335488","91506","79","27525","44309","9131","6469","124285","32944","22876","10068","30850","6463","4570","17839","31619","41333","4722","2585","47912","7545","North West",2017
"E23000003","Lancashire","120212","37043","17","16744","13293","3926","949","50403","13354","7966","5388","9968","1481","1692","9339","14569","19060","1988","507","4559","1777","North West",2017
"E23000004","Merseyside","122165","32640","23","13483","10617","3179","1408","48499","12554","9490","3064","11589","1814","1937","9510","11095","18098","6573","824","8616","2328","North West",2017
"E23000012","Humberside","85518","24374","9","10006","10621","2487","855","36432","9197","5923","3274","6631","629","2234","9432","8309","12871","1299","445","4735","2020","Yorkshire and the Humber",2017
"E23000009","North Yorkshire","38478","10368","6","4791","4251","1546","165","16602","3737","2084","1653","2250","398","1193","4638","4386","5894","1494","233","1413","763","Yorkshire and the Humber",2017
"E23000011","South Yorkshire","144980","38506","13","13879","12820","4097","1667","61758","15893","10571","5322","14141","2014","1448","12345","15917","20579","2155","1224","11717","3277","Yorkshire and the Humber",2017
"E23000010","West Yorkshire","260024","77173","24","25697","32910","7697","2896","104325","26965","18472","8493","25021","4348","2620","18684","26687","32834","5366","1747","21301","6685","Yorkshire and the Humber",2017
"E23000018","Derbyshire","55641","12646","12","7561","3905","1979","599","27225","6319","4117","2202","6347","577","943","6553","6486","8226","2059","430","1487","990","East Midlands",2017
"E23000021","Leicestershire","79250","20266","19","6821","9135","1991","795","38778","9268","6076","3192","10065","684","1872","6644","10245","9673","1506","684","4078","1479","East Midlands",2017
"E23000020","Lincolnshire","40597","8713","7","4249","3454","1475","228","20404","4857","3057","1800","3471","284","1166","5641","4985","5592","1586","380","1373","846","East Midlands",2017
"E23000022","Northamptonshire","55047","16010","5","6769","7796","1913","981","25131","6040","3540","2500","7196","547","891","4802","5655","6984","1171","494","1390","973","East Midlands",2017
"E23000019","Nottinghamshire","93800","25451","7","11547","8802","3180","1010","41220","8138","5380","2758","8903","686","1503","9661","12329","11859","2793","889","5685","1713","East Midlands",2017
"E23000015","Staffordshire","83747","29333","7","11224","10976","3374","800","30262","6264","4023","2241","5501","380","1212","7772","9133","10965","1967","609","4411","2026","West Midlands Region",2017
"E23000017","Warwickshire","41804","12029","15","4486","5075","1510","369","18979","4449","2994","1455","4862","419","1005","3734","4510","4626","988","348","2154","801","West Midlands Region",2017
"E23000016","West Mercia","85790","28758","16","10518","11796","3590","555","32746","8231","5216","3015","6228","709","1201","7176","9201","10701","2306","684","4709","1741","West Midlands Region",2017
"E23000026","Bedfordshire","46059","11653","2","4423","4653","1166","751","22595","5749","4167","1582","5906","679","1066","4056","5139","5727","969","379","2364","455","East",2017
