"Area Code","Area Name","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","Other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes","Region"
"E23000013","Cleveland","50708","12456","9","5189","7258","1388","360","23143","5499","2489","3010","3685","419","948","6896","5696","8935","1430","275","1965","756","North East"
"E23000008","Durham","43093","13145","6","4555","8584","1240","164","16127","4311","1578","2733","2782","228","547","3878","4381","8093","1048","185","2250","841","North East"
"E23000007","Northumbria","118250","31476","13","12178","19285","3313","705","44708","8477","3313","5164","6639","1064","1976","12374","14178","20500","2955","928","11144","2521","North East"
"E12000002","North West","542078","141151","88","60908","80155","14538","6347","231827","58914","31833","27081","47941","10415","9820","43976","60761","84456","15167","3128","36503","8961","North West"
"E23000006","Cheshire","60058","16769","6","7835","8928","1594","273","22171","4620","2001","2619","3404","668","1298","6188","5993","8650","2229","340","7159","873","North West"
"E23000002","Cumbria","25575","7365","4","3381","3980","963","77","9108","2089","769","1320","1171","163","303","2784","2598","5084","920","145","1503","410","North West"
"E23000005","Greater Manchester","245269","59665","52","21886","37727","6409","4168","109736","29045","16867","12178","24257","6527","4546","17237","28124","36336","4139","1607","18758","4451","North West"
"E23000003","Lancashire","104318","29460","10","14977","14473","3082","702","46618","12179","5407","6772","9955","1249","1776","8275","13184","17702","2114","361","2906","1373","North West"
"E23000004","Merseyside","106858","27892","16","12829","15047","2490","1127","44194","10981","6789","4192","9154","1808","1897","9492","10862","16684","5765","675","6177","1854","North West"
"E23000012","Humberside","74134","20104","10","9087","11007","2243","723","32469","9372","3651","5721","5729","608","1913","7476","7371","11938","1340","364","3496","1457","Yorkshire and the Humber"
"E23000009","North Yorkshire","36680","9468","6","4635","4827","1340","137","16211","3642","1392","2250","2250","491","1409","4065","4354","5762","1563","206","1358","635","Yorkshire and the Humber"
"E23000011","South Yorkshire","111666","24566","111","12227","12228","3303","1285","54257","13295","6814","6481","12861","1708","1229","11830","13334","18002","2379","970","4843","2061","Yorkshire and the Humber"
"E23000010","West Yorkshire","229590","62402","38","21677","40687","5690","2311","100529","25833","13729","12104","24301","4311","2550","17141","26393","31309","5026","1412","15763","5148","Yorkshire and the Humber"
"E23000018","Derbyshire","53084","12276","13","7099","5164","1637","559","25509","6367","2768","3599","5922","535","810","6055","5820","8027","2127","445","1399","1105","East Midlands"
