"Area Code","Area Name","Total recorded crime (excluding fraud)","Violence against the person","Homicide","Violence with injury","Violence without injury","Stalking and harassment","Death or serious injury - unlawful driving","Sexual offences","Robbery","Theft offences","Burglary","Domestic burglary","Non-domestic burglary","Vehicle offences","Theft from the person","Bicycle theft","Shoplifting","Other theft offences","Criminal damage and arson","Drug offences","Possession of weapons offences","Public order offences","Miscellaneous crimes against society","Region"
"E23000013","Cleveland","55329","13780","3","5526","5822","2420","9","1613","430","25186","5501","3825","1676","4229","492","1010","7640","6314","9542","1280","315","2325","858","North East"
"E23000008","Durham","60541","20817","2","5719","7562","7524","10","1968","232","19057","5003","3100","1903","3487","292","520","4265","5490","10159","1107","246","5277","1678","North East"
"E23000007","Northumbria","149023","41641","18","12376","17075","12153","19","4343","787","52602","9716","5672","4044","7901","1486","2276","14505","16718","23108","2700","1018","19276","3548","North East"
"E23000006","Cheshire","82443","24253","3","9430","9076","5736","8","2235","371","25057","4898","3120","1778","3880","568","1395","7522","6794","10158","2310","412","16112","1535","North West"
"E23000002","Cumbria","27046","8476","3","3689","3778","989","17","1217","84","9056","2001","1064","937","1125","162","277","2835","2656","5205","776","197","1505","530","North West"
"E23000005","Greater Manchester","335488","91506","79","27525","44309","19558","35","9131","6469","124285","32944","22876","10068","30850","6463","4570","17839","31619","41333","4722","2585","47912","7545","North West"
"E23000003","Lancashire","120212","37043","17","16744","13293","6975","14","3926","949","50403","13354","7966","5388","9968","1481","1692","9339","14569","19060","1988","507","4559","1777","North West"
"E23000004","Merseyside","122165","32640","23","13483","10617","8505","12","3179","1408","48499","12554","9490","3064","11589","1814","1937","9510","11095","18098","6573","824","8616","2328","North West"
"E23000012","Humberside","85518","24374","9","10006","10621","3709","29","2487","855","36432","9197","5923","3274","6631","629","2234","9432","8309","12871","1299","445","4735","2020","Yorkshire and the Humber"
"E23000009","North Yorkshire","38478","10368","6","4791","4251","1308","12","1546","165","16602","3737","2084","1653","2250","398","1193","4638","4386","5894","1494","233","1413","763","Yorkshire and the Humber"
"E23000011","South Yorkshire","144980","38506","13","13879","12820","11761","33","4097","1667","61758","15893","10571","5322","14141","2014","1448","12345","15917","20579","2155","1224","11717","3277","Yorkshire and the Humber"
"E23000010","West Yorkshire","260024","77173","24","25697","32910","18503","39","7697","2896","104325","26965","18472","8493","25021","4348","2620","18684","26687","32834","5366","1747","21301","6685","Yorkshire and the Humber"
"E23000018","Derbyshire","55641","12646","12","7561","3905","1158","10","1979","599","27225","6319","4117","2202","6347","577","943","6553","6486","8226","2059","430","1487","990","East Midlands"
"E23000021","Leicestershire","79250","20266","19","6821","9135","4287","4","1991","795","38778","9268","6076","3192","10065","684","1872","6644","10245","9673","1506","684","4078","1479","East Midlands"
"E23000020","Lincolnshire","40597","8713","7","4249","3454","994","9","1475","228","20404","4857","3057","1800","3471","284","1166","5641","4985","5592","1586","380","1373","846","East Midlands"
"E23000022","Northamptonshire","55047","16010","5","6769","7796","1435","5","1913","981","25131","6040","3540","2500","7196","547","891","4802","5655","6984","1171","494","1390","973","East Midlands"
"E23000019","Nottinghamshire","93800","25451","7","11547","8802","5085","10","3180","1010","41220","8138","5380","2758","8903","686","1503","9661","12329","11859","2793","889","5685","1713","East Midlands"
"E23000015","Staffordshire","83747","29333","7","11224","10976","7117","9","3374","800","30262","6264","4023","2241","5501","380","1212","7772","9133","10965","1967","609","4411","2026","West Midlands Region"
"E23000017","Warwickshire","41804","12029","15","4486","5075","2431","22","1510","369","18979","4449","2994","1455","4862","419","1005","3734","4510","4626","988","348","2154","801","West Midlands Region"
"E23000016","West Mercia","85790","28758","16","10518","11796","6412","16","3590","555","32746","8231","5216","3015","6228","709","1201","7176","9201","10701","2306","684","4709","1741","West Midlands Region"
"E23000014","West Midlands","227865","54860","38","26991","18799","8998","34","6125","7262","113080","27589","19539","8050","35989","2899","3410","19731","23462","26494","4145","1779","10911","3209","West Midlands Region"
"E23000026","Bedfordshire","46059","11653","2","4423","4653","2568","7","1166","751","22595","5749","4167","1582","5906","679","1066","4056","5139","5727","969","379","2364","455","East"
