Year,"Homicide                  (includes murder, manslaughter, infanticide and corporate manslaughter)3",Attempted murder4,Intentional destruction of viable unborn child,Causing death by dangerous driving or by careless driving when under the influence of drink or drugs,Causing death by dangerous driving,Causing death by careless driving when under the influence of drink or drugs,Causing death by careless or inconsiderate driving,More serious wounding or other act endangering life,Inflicting grievous bodily bodily harm (GBH) without intent,Use of substance or object to endanger life,Possession of items to endanger life,Assault with intent to                  cause                     serious harm,Endangering                    life,Endangering railway passengers,Endangering                life at sea ,Inflicting grievous bodily harm (GBH) without intent,Racially/                       religiously aggravated inflicting GBH without intent,Causing death                     by aggravated                    vehicle taking,Causing or allowing death of a child or vulnerable person,Causing death by driving: unlicensed drivings etc.,Less serious wounding5,Racially/                          religiously aggravated less serious wounding7,Actual bodily harm (ABH) and other injury,Racially/                   religiously ABH or other injury,Poisoning  or female genital mutilation,Assault with injury,Racially/    religiously assault with injury,Violence with injury,Threat or conspiracy to murder,Consipracy to murder,Threats to kill,Harassment 7,Racially/                   religiously aggravated harassment7,Stalking,Cruelty to and neglect of children,Cruelty to children/                      young persons,Abandoning a child under the age of two years,Child abduction,Procuring illegal abortion,Kidnapping,Assault without injury on a constable,Assault without injury,"Racially/                         religiously aggravated assault without injury5,7",Violence without injury,TOTAL VIOLENCE AGAINST                  THE PERSON,Rape of                 a female8,Rape of                 a female          aged 16              and over8,Rape of                 a female          child            under 168,Rape of                 a female          child            under 138,Rape of                 a male8,Rape of                 a male          aged 16              and over8,Rape of                 a male          child            under 168,Rape of                 a male          child            under 138,Rape,Buggery8,Indecent         assault                  on a male8,Sexual                  assault on a                      male aged                 13 or over8,Sexual                  assault on a                      male child                 under 138,Gross indecency between males,Indecent         assault                  on a female8,Sexual                  assault on a                      female aged                 13 or over8,Sexual                  assault on a                      female child                 under 138,Unlawful                            sexual                 intercourse      with a girl     under 138,Sexual                     activity       involving                      a child                  under 138,Unlawful                            sexual                 intercourse      with a girl     under 168,Sexual                      activity       involving                      a child                  under 168,"Causing         sexual       activity      without      consent8,9",Incest or familial sexual offences8,Abduction of female8,Sexual                 activity           etc. with a person with                  a mental                  disorder8,Abuse of       children    through       prostitution        or                          pornography8,Trafficking for                  sexual                 exploitation8,Abuse of position of trust of a sexual nature8,Gross        indeceny         with a                child8,Sexual        grooming8,"Other miscellaneous sexual offences8,10,19",Other miscellaneous sexual offences19,Unnatural sexual offences19,Exposure and voyeurism19,Other                  sexual offences,TOTAL    SEXUAL    OFFENCES,Robbery                    of                       business     property,Robbery                    of                       personal     property,TOTAL           ROBBERY              OFFENCES,Burglary in              a dwelling,Burglary in              a dwelling,Attempted burglary in a dwelling,Distraction burglary in a dwelling,Attempted distraction burglary in a dwelling,Aggravated                 burglary in           a dwelling,Domestic burglary,Burglary in                    a building           other than          a dwelling                 ,Burglary in                    a building           other than          a dwelling                 ,Attempted burglary in a building other than a dwelling,Aggravated                burglary in                    a building           other than          a dwelling                 ,Non-domestic burglary,Aggravated vehicle taking,Theft from a vehicle,Theft or unauthorised taking of a motor vehicle,Interfering with a motor vehicle11,Vehicle offences,Theft from the person,Theft of a pedal cycle,Shoplifting,Blackmail,Theft in a dwelling other than from automatic machine or meter,Theft                            by an         employee,Theft or unauthorised taking of mail,Dishonest use of electricity,Theft from automatic machine or meter,Other theft or unauthorised taking,Making off without payment 20,All other                     theft         offences,TOTAL                THEFT                OFFENCES,Arson ,Arson endandering life,Arson not endangering life,Arson,Criminal damage to a dwelling,Criminal damage to a building other than a dwelling,Criminal damage to a vehicle,Other criminal damage,Racially/               religiously aggravated criminal damage to a dwelling7,Racially/                 religiously aggravated criminal damage to a building other than a dwelling7,Racially/                           religiously aggravated criminal damage to a vehicle7,Racially/                 religiously aggravated other criminal damage7,Racially/                 religiously aggravated other criminal damage7,Criminal damage,TOTAL CRIMINAL DAMAGE AND ARSON,Trafficking in controlled drugs,Possession of controlled drugs16,Other drug offences,Possession of controlled drugs (excluding cannabis)16      ,Possession of controlled drugs (Cannabis)16     ,TOTAL DRUG OFFENCES,Possession of weapons6,Possession of firearms with intent,Possession                 of firearm                offences,Possession of other weapons,Possession of article with blade or point,Other firearms offences17,Other knives offences,TOTAL POSSESSION OF WEAPONS OFFENCES,"Public fear, alaram or distress 7","Racially/             religiously aggravated public fear, alarm or distress 7",Treason,Violent disorder,Treason felony,Riot,Violent disorder,Other offences against the state or public order,TOTAL PUBLIC ORDER OFFENCES,Concealing an infant death close to birth,Exploitation of prostitution8,Bigamy,Soliciting of women by men8,"Going equipped for stealing, etc.","Making, supplying or possessing articles for use in fraud",Profiting from or concealing knowledge of the proceeds of crime12,Making or supplying articles for use in fraud14,Possession  of articles for use in fraud14,Handling                  stolen                         goods,Threat etc. to commit criminal damage,Forgery or use of false drug prescription14,Other                     forgery14,Possession of false documents14,Perjury,Libel ,Offender Management Act offences,"Betting, gaming and lotteries",Aiding suicide,Immigration offences,Perverting the course of justice,Absconding from lawful custody,Customs and Revenue offences,Bail offences,"Trade descriptions, etc.",Health and Safety offences,"Obscene publications, etc.",Protection from eviction,Adulteration of food,Public health offences,Planning laws,"Disclosure, Obstruction, False or Misleading Statements, etc.",Wildlife Crime,Other indictable or triable-either-way offences,Dangerous driving,Vehicle/driver document fraud14,TOTAL MISCELL-ANEOUS CRIMES AGAINST SOCIETY,TOTAL RECORDED CRIME - ALL OFFENCES (excluding fraud offences),,,"Fraud by company director13,14",False accounting14,Cheque and plastic card fraud14,Other frauds14,"Fraud by false representation:cheque, plastic card and online bank accounts14",Fraud by false representation: other frauds14,Fraud by failing to disclose information14,Fraud by abuse of position14,Obtaining services dishonestly14,Bankruptcy and insolvency offences14,FRAUD OFFENCES TO 2013/14,Recorded by Action Fraud,TOTAL RECORDED CRIME - ALL OFFENCES (including fraud offences)
HO code,"(1), (4.1),                      (4.2), (4.10)",(2),(4.3),"(4.4), (4.6)",(4.4),(4.6),(4.8),(5),(5A),(5B),(5C),(5D),(5E),(6),(7),(8F),(8H),(37.1),(4.7),(4.9),(8A),(8D),(8G),(8J),(8K),(8N),(8P),,(3),(3A),(3B),(8L),(8M),(8Q),11,11A,12,13,14,(36),104,105A,105B,,,(19A),(19C),(19D),(19E),(19B),(19F),(19G),(19H),,(16),(17),(17A),(17B),(18), (20),(20A),(20B),(21),(21), (22),(22B),(22A),(23), (25),(70),(71),(72),(73),(74),(88A),"(88B), (139)",(88C),(88D),(88E),,,(34A),(34B),,(28),(28A),(28B),(28C),(28D), (29),,(30),(30A),(30B),(31),,(37.2),(45),(48),(126),,(39),(44),(46),(35),(40),(41),(42),(43),(47),(49),(49A),,,(56),(56A),(56B),,(58A),(58B),(58C),(58D),(58E),(58F),(58G),(58H),(58J),,,(92A) ,(92B),(92C),(92D),(92E),,(8B),(10A),(10B),(10C),(10D),(81),(90),,(9A),(9B),(62),(62A),(63),(64),(65),(66),,(15),(24),(26),(27),(33),(33A),(38),(53H),(53J),(54),(59),(60),(61),(61A),(67),(68),(69),(75),(76),(78),(79),(80),(82),(83),(84),(85),(86),(87),(89),(91),(94),(95),(96),(99),(802),(814),,,,,(51),(52),(53A),(53B),(53C),(53D),(53E),(53F),(53G),(55),,,
"2002/031,2","1,047",822,2,..,..,..,414,"18,016",..,..,..,..,..,"1,164",2,..,..,55,..,..,"347,353",..,"4,415",..,..,..,..,"372,243","18,132",..,..,"31,249","1,753",..,"4,109",..,59,846,7,"3,198","33,948","237,549","4,602","335,452","708,742","11,445",..,..,..,850,..,..,..,"12,295",287,"4,132",..,..,245,"25,275",..,..,183,..,"1,515",..,..,99,291,..,..,..,678,"1,917",..,"9,735",..,..,..,"44,357","56,652","11,066","99,205","110,271","434,098",..,..,..,..,"3,485","437,583","451,904",..,..,612,"452,516","11,560","663,679","306,947","92,473","1,074,659","148,488","97,755","310,881","1,331","56,444","17,530","13,458","1,413","24,311","647,827","129,123","891,437","3,413,319","53,552",..,..,"53,552","291,999","176,702","434,270","152,440","2,044","1,160","1,525",780,..,"1,060,920","1,114,472","22,435","119,896",989,..,..,"143,320","32,816",..,..,..,..,"3,522",41,"36,379","91,561","15,157",0,..,0,8,"2,856","19,935","129,517",7,127,88,"2,111","5,792",..,..,..,..,"18,817","6,138",881,"8,793",..,186,2,..,5,8,433,"11,346","1,553",117,252,195,3,"2,106",63,80,20,1,16,..,"3,223","7,624","8,618","78,605","5,791,277",,,27,880,"142,249","40,516",..,..,..,..,..,11,"183,683",..,"5,974,960"
2003/04,904,888,8,..,..,..,445,"19,528",..,..,..,..,..,811,2,..,..,63,..,..,"431,056",..,"4,930",..,..,..,..,"457,731","22,299",..,..,"38,434","2,088",..,"6,083",..,49,930,9,"3,141","22,189","241,229","4,161","340,612","799,247","12,378",..,..,..,894,..,..,..,"13,272",247,"4,110",..,..,260,"27,240",..,..,212,..,"1,911",..,..,105,403,..,..,..,792,"1,987",..,"9,873",..,..,..,"47,140","60,412","10,110","93,626","103,736","398,945",..,..,..,..,"3,400","402,345","417,133",..,..,535,"417,668","11,570","603,256","280,288","89,892","985,006","137,154","105,467","303,235","1,497","61,099","17,700","20,537","1,309","29,515","634,491","132,624","898,772","3,249,647","57,546",..,..,"57,546","321,613","186,784","457,950","180,411","1,982","1,185","1,603",838,..,"1,152,366","1,209,912","24,628","118,006",877,..,..,"143,511","35,669",..,..,..,..,"3,322",30,"39,021","116,566","18,887",1,..,0,8,"2,790","19,926","158,178",6,186,71,"1,944","5,706",..,69,..,..,"17,308","8,612",805,"7,992",..,206,0,..,1,11,451,"11,894","1,721",49,212,513,4,"2,881",75,34,86,3,22,..,"3,440","7,567","8,016","79,885","5,843,549",,,80,721,"131,022","38,378",..,..,..,..,..,9,"170,210",..,"6,013,759"
2004/05,868,740,4,..,..,..,441,"19,612",..,..,..,..,..,718,3,..,..,40,..,..,"488,135",..,"5,426",..,..,..,..,"515,119","23,758",..,..,"49,815","2,302",..,"5,724",..,49,"1,035",7,"2,814","23,604","216,712","3,866","329,686","845,673",693,"8,192","3,014",970,81,444,322,297,"14,013",73,"1,003","1,316","1,227",49,"5,152","15,087","4,391",..,"1,510",436,"2,546",239,713,86,104,99,21,682,398,186,"11,593",..,..,..,"46,911","60,924","7,934","83,076","91,010","318,969",..,..,..,..,"2,538","321,507","358,398",..,..,453,"358,851","11,409","500,360","231,323","77,004","820,096","122,081","105,953","281,127","1,465","57,713","17,251","22,509","1,296","35,918","589,189","102,906","828,247","2,837,862","48,368",..,..,"48,368","308,973","174,489","461,346","188,842","1,845","1,137","1,640",837,..,"1,139,109","1,187,477","24,190",..,781,"32,603","88,263","145,837","36,374",..,..,..,..,"4,210",21,"40,605","147,801","21,061",0,..,0,4,"2,636","20,370","191,872",6,117,104,"1,821","4,567",..,438,..,..,"14,157","10,066",747,"10,249",..,265,0,..,12,6,550,"11,567","1,362",30,202,"1,344",15,"2,861",70,29,112,4,144,..,"2,577","6,669","5,420","75,511","5,476,771",,,51,541,"121,376","38,761",..,..,..,..,..,11,"160,740",..,"5,637,511"
2005/06,764,920,5,..,..,..,432,"18,825",..,..,..,..,..,646,13,..,..,24,5,..,"516,523",..,"6,107",..,..,..,..,"543,500","18,683",..,..,"54,644","2,548",..,"5,045",..,49,919,6,"2,799","22,217","183,555","3,945","294,410","838,674",61,"8,725","3,153","1,388",22,438,292,364,"14,443",39,347,"1,428","1,394",20,"1,215","17,158","4,647",..,"1,950",138,"3,283",744,966,36,139,124,33,463,120,237,"11,363",..,..,..,"45,844","60,287","8,760","89,438","98,198","298,355",..,..,..,..,"2,162","300,517","344,195",..,..,356,"344,551","10,943","507,239","203,239","71,400","792,821","123,867","113,192","295,999","1,645","54,757","17,048","9,351","1,299","42,049","554,368","87,767","768,284","2,739,231","45,731",..,..,"45,731","297,579","161,436","468,143","195,069","1,742","1,274","1,899",975,..,"1,128,117","1,173,848","25,276",..,601,"32,685","119,917","178,479","35,590",..,..,..,..,"4,106",15,"39,711","164,061","24,057",0,..,0,7,"2,457","31,999","222,581",8,153,101,"1,640","4,382",..,"1,548",..,..,"12,714","10,501",693,"10,627",..,245,1,..,6,11,935,"12,712","1,272",49,177,"1,360",8,"2,592",75,45,128,5,368,..,"2,197","5,923","4,206","74,682","5,425,691",,,626,487,"87,860","40,415",..,..,..,..,..,93,"129,481",..,"5,555,172"
2006/07,758,633,5,..,..,..,459,"17,276",..,..,..,..,..,484,5,..,..,18,3,..,"481,822",..,"5,620",..,..,..,..,"506,325","12,822",..,..,"55,493","2,657",..,"4,917",..,23,696,6,"2,367","21,749","202,701","4,351","307,782","814,865",25,"8,222","2,853","1,524",18,413,261,458,"13,774",35,76,"1,450","1,237",12,267,"16,883","4,245",..,"1,936",67,"3,208",224,"1,344",21,163,101,43,361,64,322,"10,209",..,..,..,"42,268","56,042","9,454","91,922","101,376","290,454",..,..,..,..,"1,806","292,260","329,473",..,..,279,"329,752","10,920","502,651","182,464","68,980","765,015","114,852","110,526","294,282","2,481","54,471","16,323","4,740","1,497","33,721","536,603","82,261","732,097","2,638,784","43,100",..,..,"43,100","288,285","160,207","483,237","197,036","1,543","1,079","1,711",953,..,"1,134,051","1,177,151","26,550",..,680,"36,608","130,395","194,233","34,689",..,..,..,..,"4,239",9,"38,937","173,152","25,828",0,..,0,4,"1,742","35,935","236,661",4,190,61,"1,290","4,253",..,"1,961",..,..,"11,826","7,889",593,"8,479",..,197,1,..,13,13,792,"11,114",979,27,83,"1,353",9,"2,378",69,32,50,0,266,..,"1,915","5,353","3,138","64,328","5,322,377",,,101,462,"59,011","45,593",..,..,..,..,..,14,"105,181",..,"5,427,558"
2007/08,775,621,4,..,..,..,422,"15,118",..,..,..,..,..,402,10,..,..,18,3,1,"430,818",..,"4,830",..,..,..,..,"452,247","9,966",..,..,"52,107","2,424",..,"5,287",..,19,595,6,"1,991","20,384","198,653","4,325","295,757","748,779",145,"7,610","2,422","1,487",10,332,237,430,"12,673",49,209,"1,323","1,121",17,768,"15,793","3,984",..,"1,836",33,"3,123",217,"1,125",4,127,108,57,328,149,274,"8,848",..,..,..,"39,493","52,166","9,173","75,600","84,773","279,125",..,..,..,..,"1,571","280,696","302,799",..,..,215,"303,014","10,334","432,412","159,704","54,003","656,453","101,660","104,000","290,653","1,201","51,336","15,864","3,051","2,024","11,932","526,949","73,895","686,252","2,422,728","39,327",..,..,"39,327","256,804","131,146","425,632","173,127","1,150",833,"1,338",681,..,"990,711","1,030,038","28,323",..,817,"42,519","158,254","229,913","32,513",..,..,..,..,"4,560",6,"37,079","158,045","24,086",0,..,0,2,"1,180","35,067","218,380",8,184,74,"1,216","3,781",..,"2,382",183,"1,108","11,335","6,318",440,"4,211","2,301",193,0,..,11,9,661,"9,131",828,10,25,"1,321",8,"2,672",81,44,44,0,425,..,"1,391","4,725","2,164","57,284","4,881,140",,,162,251,..,"9,984","23,345","34,544",265,675,"1,880",31,"71,137",..,"4,952,277"
2008/09,664,574,2,373,29,35,..,..,"22,663",462,266,..,..,320,8,"17,159",384,14,7,8,..,"374,255",..,"3,921",163,..,..,"420,643",..,56,"9,448","48,363","2,395",..,"6,204",..,23,567,5,"2,035","17,384","197,035","4,186","287,701","709,008",170,"7,768","2,537","1,658",22,317,216,408,"13,096",36,158,"1,161","1,004",14,575,"15,500","3,665",..,"1,650",51,"3,318",151,"1,041",4,131,116,52,195,121,313,..,298,5,"7,530","37,089","50,185","9,350","70,780","80,130","282,977",..,..,..,..,"1,454","284,431","296,970",..,..,183,"297,153","9,730","396,976","137,508","47,639","591,853","89,652","104,169","320,739","1,363","51,220","15,467","3,724","1,785","7,651","472,325","80,048","633,583","2,321,580",..,"3,629","31,198","34,827","235,424","109,440","389,719","157,109",999,778,"1,304",727,..,"895,500","930,327","29,885",..,"1,123","44,578","167,950","243,536",..,"1,973","4,460","14,944","13,985",293,7,"35,662","142,246","23,355",0,..,0,3,"1,022","37,663","204,289",8,173,64,"1,071","3,791",..,"2,505",611,"1,466","10,766","6,034",446,"4,241","2,646",177,1,..,22,7,573,"8,396",651,13,3,"1,143",15,"2,775",71,13,115,1,506,..,"1,735","4,240","1,387","55,666","4,630,383",,,815,146,..,"3,494","26,578","38,884",304,926,"1,152",15,"72,314",..,"4,702,697"
2009/10,620,591,3,296,36,188,..,..,"22,795",416,331,..,..,231,6,"16,482",224,5,3,16,..,"355,962",..,"3,521",138,..,..,"401,244",..,45,"9,523","52,959","2,370",..,"6,611",..,9,560,3,"1,860","15,781","203,098","4,328","297,147","699,011",..,"9,027","2,908","1,967",..,368,241,563,"15,074",..,..,"1,208","1,054",..,..,"15,693","4,148",..,"1,817",..,"3,992",130,"1,111",..,124,134,58,185,..,393,..,354,15,"7,516","37,932","53,006","8,182","66,923","75,105",..,"214,889","44,706","6,936",722,"1,353","268,606",..,"236,019","35,868",152,"272,039","8,000","339,170","109,684","38,019","494,873","92,247","109,847","307,823","1,450","53,338","13,169","3,098","1,736","7,753","436,244","70,397","587,185","2,132,620",..,"3,623","28,957","32,580","198,623","88,687","336,927","140,575",849,663,"1,135",606,..,"768,065","800,645","33,223",..,"1,122","38,439","162,800","235,584",..,"1,587","4,070","11,950","10,885",253,13,"28,758","126,597","23,226",0,..,0,0,859,"37,572","188,254",6,148,60,"1,190","3,647",..,"2,609",862,"1,564","9,448","5,996",343,"2,526","2,263",184,0,533,21,17,411,"7,997",557,10,4,809,6,"3,215",81,4,488,0,426,..,"1,629","3,941","1,058","52,053","4,265,036",,,85,155,..,"3,666","27,148","39,626",364,"1,160","1,042",13,"73,259",..,"4,338,295"
2010/11,639,523,3,213,25,172,..,..,"19,489",371,329,..,..,257,4,"15,112",188,14,5,6,..,"328,463",..,"2,985",118,..,..,"368,277",..,36,"9,480","51,173","1,971",..,"6,087",..,6,548,5,"1,717","15,510","205,975","4,062","296,570","665,486",..,"9,469","2,877","2,243",..,387,246,670,"15,892",..,..,"1,285","1,126",..,..,"16,346","4,298",..,"1,769",..,"4,039",167,803,..,130,153,66,146,..,309,..,198,12,"7,201","38,048","53,940","7,729","68,460","76,189",..,"208,484","42,298","5,480",543,"1,360","258,165",..,"230,868","33,515",135,"264,518","6,954","313,467","99,208","29,987","449,616","92,902","108,962","305,896","1,491","54,798","12,141","2,792","1,860","6,215","481,585","66,505","627,387","2,107,446",..,"3,325","25,791","29,116","172,916","75,677","289,045","125,751",639,534,869,537,..,"665,968","695,084","32,336",..,"1,142","38,711","160,733","232,922",..,"1,385","3,650","10,564","10,474",254,0,"26,327","114,781","20,967",0,..,0,2,751,"36,580","173,081",9,153,44,826,"4,129",..,"2,344",975,"1,559","9,184","5,916",298,"1,632","1,770",339,4,518,14,7,445,"6,890",499,3,6,486,2,"3,342",73,9,398,1,348,..,"1,569","3,475",733,"48,000","4,078,475",,,207,108,..,"3,342","24,942","42,460",339,"1,033",..,10,"72,441",..,"4,150,916"
