,,,Inequality measures using Income (BHC),,,,,,,,Inequality measures using Income (AHC),,,,,,
,,,,,,,,,,,,,,,,,
Source,Year,Country,Gini coefficient,Mean log deviation*,Theil Index*,Half the squared coefficient of variation,90/10 ratio,50/10 ratio,90/50 ratio,,Gini coefficient,Mean log deviation*,Theil Index*,Half the squared coefficient of variation,90/10 ratio,50/10 ratio,90/50 ratio
FES,1961,GB,0.261,0.116,0.115,0.139,3.211,1.858,1.728,,0.268,0.123,0.121,0.150,3.208,1.850,1.734
FES,1962,GB,0.248,0.109,0.104,0.120,3.106,1.848,1.681,,0.254,0.110,0.109,0.129,3.231,1.893,1.707
FES,1963,GB,0.271,0.132,0.131,0.163,3.344,1.941,1.723,,0.278,0.135,0.137,0.178,3.435,1.954,1.758
FES,1964,GB,0.264,0.126,0.129,0.173,3.258,1.835,1.776,,0.272,0.130,0.135,0.189,3.265,1.863,1.753
FES,1965,GB,0.251,0.108,0.111,0.137,3.075,1.850,1.662,,0.257,0.112,0.117,0.149,3.102,1.862,1.665
FES,1966,GB,0.261,0.119,0.119,0.145,3.189,1.852,1.722,,0.267,0.123,0.125,0.158,3.236,1.853,1.747
FES,1967,GB,0.251,0.107,0.113,0.142,2.980,1.803,1.653,,0.259,0.112,0.122,0.161,3.026,1.829,1.654
FES,1968,GB,0.250,0.106,0.107,0.129,2.976,1.765,1.686,,0.257,0.111,0.114,0.142,3.043,1.779,1.711
FES,1969,GB,0.257,0.113,0.114,0.137,3.129,1.822,1.717,,0.265,0.119,0.121,0.152,3.240,1.865,1.738
FES,1970,GB,0.259,0.113,0.114,0.136,3.210,1.823,1.761,,0.268,0.119,0.122,0.153,3.329,1.853,1.796
FES,1971,GB,0.266,0.120,0.122,0.148,3.282,1.867,1.758,,0.276,0.128,0.131,0.166,3.440,1.910,1.801
FES,1972,GB,0.269,0.128,0.122,0.143,3.412,1.919,1.778,,0.280,0.135,0.130,0.158,3.572,1.985,1.800
FES,1973,GB,0.259,0.112,0.114,0.138,3.198,1.823,1.755,,0.268,0.121,0.124,0.153,3.311,1.865,1.776
FES,1974,GB,0.251,0.106,0.106,0.123,3.086,1.817,1.699,,0.261,0.114,0.114,0.136,3.212,1.854,1.733
