Year,Month,BH,Weekend days,Total non-work days
2010,Jan,1,8,9
2010,Feb,,8,8
2010,Mar,,8,8
2010,Apr,2,8,10
2010,May,2,10,12
2010,Jun,,8,8
2010,Jul,,9,9
2010,Aug,1,9,10
2010,Sep,,8,8
2010,Oct,,10,10
2010,Nov,,8,8
2010,Dec,2,8,10
2011,Jan,1,10,11
2011,Feb,,8,8
2011,Mar,,8,8
2011,Apr,3,9,12
2011,May,2,9,11
2011,Jun,,8,8
2011,Jul,,10,10
2011,Aug,1,8,9
2011,Sep,,8,8
2011,Oct,,10,10
2011,Nov,,8,8
2011,Dec,2,9,11
2012,Jan,1,9,10
2012,Feb,,8,8
2012,Mar,,9,9
2012,Apr,2,9,11
2012,May,1,8,9
2012,Jun,2,9,11
2012,Jul,,9,9
2012,Aug,1,8,9
2012,Sep,,10,10
2012,Oct,,8,8
2012,Nov,,8,8
2012,Dec,2,10,12
2013,Jan,1,8,9
2013,Feb,,8,8
2013,Mar,1,10,11
2013,Apr,1,8,9
2013,May,2,8,10
2013,Jun,,10,10
2013,Jul,,8,8
2013,Aug,1,9,10
2013,Sep,,9,9
2013,Oct,,8,8
2013,Nov,,9,9
2013,Dec,2,9,11
2014,Jan,1,8,9
2014,Feb,,8,8
2014,Mar,,10,10
2014,Apr,2,8,10
2014,May,2,9,11
2014,Jun,,9,9
2014,Jul,,8,8
2014,Aug,1,10,11
2014,Sep,,8,8
2014,Oct,,8,8
2014,Nov,,10,10
2014,Dec,2,8,10
2015,Jan,1,9,10
2015,Feb,,8,8
2015,Mar,,9,9
2015,Apr,2,8,10
2015,May,2,10,12
2015,Jun,,8,8
2015,Jul,,8,8
2015,Aug,1,10,11
2015,Sep,,8,8
2015,Oct,,9,9
2015,Nov,,9,9
2015,Dec,2,8,10
2016,Jan,1,10,11
2016,Feb,,8,8
2016,Mar,2,8,10
2016,Apr,,9,9
2016,May,2,9,11
2016,Jun,,8,8
2016,Jul,,10,10
2016,Aug,1,8,9
2016,Sep,,8,8
2016,Oct,,10,10
2016,Nov,,8,8
2016,Dec,2,9,11
2017,Jan,1,9,10
2017,Feb,,8,8
2017,Mar,,8,8
2017,Apr,2,10,12
2017,May,2,8,10
2017,Jun,,8,8
2017,Jul,,10,10
2017,Aug,1,8,9
2017,Sep,,9,9
2017,Oct,,9,9
2017,Nov,,8,8
2017,Dec,2,10,12
2018,Jan,1,8,9
2018,Feb,,8,8
2018,Mar,1,9,10
2018,Apr,1,9,10
2018,May,2,8,10
2018,Jun,,9,9
2018,Jul,,9,9
2018,Aug,1,8,9
2018,Sep,,10,10
2018,Oct,,8,8
2018,Nov,,8,8
2018,Dec,2,10,12
2019,Jan,1,8,9
2019,Feb,,8,8
2019,Mar,,10,10
2019,Apr,2,8,10
2019,May,2,8,10
2019,Jun,,10,10
2019,Jul,,8,8
2019,Aug,1,9,10
2019,Sep,,9,9
2019,Oct,,8,8
2019,Nov,,9,9
2019,Dec,2,9,11
2020,Jan,1,8,9
2020,Feb,,9,9
2020,Mar,,9,9
2020,Apr,2,8,10
2020,May,2,10,12
2020,Jun,,8,8
2020,Jul,,8,8
2020,Aug,1,10,11
2020,Sep,,8,8
2020,Oct,,9,9
2020,Nov,,9,9
2020,Dec,2,8,10
2021,Jan,1,10,11
2021,Feb,,8,8
2021,Mar,,8,8
2021,Apr,2,8,10
2021,May,2,10,12
2021,Jun,,8,8
2021,Jul,,9,9
2021,Aug,1,9,10
2021,Sep,,8,8
2021,Oct,,10,10
2021,Nov,,8,8
2021,Dec,2,8,10
2022,Jan,1,10,11
2022,Feb,,8,8
2022,Mar,,8,8
2022,Apr,2,9,11
