month,mean_temperature,max_temperature,rainfall,raindays_gt_1mm,raindays_gt_10mm,sunshine_hours,humidity
01/01/2001,4.13844,6.94144,70.56545,12.17965,1.94158,67.43305,84.78743
01/02/2001,5.66318,8.9816,90.76535,12.96168,2.9956,80.63946,82.68405
01/03/2001,6.50429,9.36969,99.83895,14.39259,3.13756,66.53335,83.20217
01/04/2001,8.88921,12.71305,75.51019,16.8191,1.32035,132.29852,75.24798
01/05/2001,13.55181,18.62517,40.4737,6.20477,1.10364,230.06488,70.21018
01/06/2001,15.54714,20.58615,29.22566,5.58794,0.86872,239.8776,66.94386
01/07/2001,18.82201,23.75229,50.84068,9.15452,1.18279,221.5732,70.39519
01/08/2001,18.43423,23.03255,77.22092,11.85364,2.03894,200.35298,75.36667
01/09/2001,14.21315,17.93227,68.4924,12.78455,1.73178,132.20804,79.25877
01/10/2001,14.39141,17.48096,119.77885,18.1093,3.76822,107.14661,86.0115
01/11/2001,7.74118,11.15208,44.33413,8.63065,0.92337,80.54053,84.85038
01/12/2001,4.08685,7.16496,21.72042,5.27827,0.02261,82.11814,84.36567
01/01/2002,6.30338,9.28241,56.41758,11.71796,1.08229,47.13835,87.25767
01/02/2002,8.02654,11.29311,75.44989,12.62249,2.25,82.00642,77.98841
01/03/2002,8.52137,12.36625,43.26336,9.5,0.42525,101.63314,77.84252
01/04/2002,10.42205,15.44778,38.85315,7.06847,0.53392,195.17816,69.75362
01/05/2002,13.05012,17.11075,73.49802,13.30339,1.90138,186.36719,75.85821
01/06/2002,15.66503,20.05759,59.7317,9.88003,1.08857,173.24655,73.20442
01/07/2002,17.52524,22.07915,68.86857,10.38317,2.69095,181.40656,75.03773
01/08/2002,18.48412,23.05622,62.61768,8.42714,1.93467,164.02689,77.17671
01/09/2002,15.21358,19.97477,26.26634,2.58794,1.02764,157.08145,73.43576
01/10/2002,11.30203,15.0381,64.94671,12.36495,1.48681,86.45993,80.45656
01/11/2002,9.54004,12.2524,138.14354,21.13631,4.90138,57.88737,89.03571
01/12/2002,6.79209,8.72118,125.9268,15.55088,3.91834,22.75174,88.1045
01/01/2003,5.03304,7.80606,72.66059,11.02764,2.36055,71.95934,82.79081
01/02/2003,4.81652,8.31851,22.28642,7.10741,0.02638,93.81263,79.68043
01/03/2003,8.5552,13.30827,17.43487,3.14384,0,169.77389,74.11922
01/04/2003,10.3554,15.35946,25.28986,5.54083,0.03329,181.18465,66.61897
01/05/2003,13.24755,18.10315,39.64523,10.24749,0.08543,183.63608,72.99376
01/06/2003,17.6275,22.7812,43.485,7.88442,1.20101,211.23446,70.33884
01/07/2003,18.98679,23.71924,36.88881,8.69221,0.32852,192.64458,71.32137
01/08/2003,20.38352,26.15908,11.15672,2.19598,0.14573,228.04984,65.7375
01/09/2003,15.58947,21.70241,14.94457,3.57224,0.13128,192.40434,69.27853
01/10/2003,10.08383,14.37452,34.39723,8.20352,0.71168,156.27208,74.42084
01/11/2003,9.31442,12.3154,117.04981,12.4441,3.96859,75.71998,86.14458
01/12/2003,5.79083,8.68639,58.65322,14.0358,0.33543,52.81371,84.89339
01/01/2004,5.85462,8.72102,82.32254,16.86244,0.52387,50.91113,83.70164
01/02/2004,6.12242,8.71477,26.61102,6.84987,0.04648,60.42739,78.2625
01/03/2004,7.25493,10.77669,32.88813,10.24058,0.03832,94.67389,78.47807
01/04/2004,10.29532,14.8058,62.29724,13.60364,1.58103,141.64236,75.71048
01/05/2004,13.37085,18.07959,54.11369,8.23555,2.18028,173.09453,73.77373
01/06/2004,16.84442,21.79604,33.82648,6.31281,0.9598,205.60319,70.47929
01/07/2004,17.61274,22.44109,43.00725,7.82789,1.03266,185.0571,71.83096
