month,mean_temperature,max_temperature,rainfall,raindays_gt_1mm,raindays_gt_10mm,sunshine_hours,humidity
jan,5.37887,8.20537,62.28175,11.43287,1.46822,55.67979,84.56836
feb,5.62421,8.78709,47.35382,9.79558,0.89627,75.85502,81.04741
mar,7.68761,11.46495,39.33796,8.51108,0.59169,119.94582,77.47851
apr,10.10971,14.68129,44.19336,8.84001,0.84916,169.88732,73.1235
may,13.24362,18.00391,47.56841,8.19548,1.20875,200.32142,72.49908
jun,16.17162,20.97764,50.67204,8.52864,1.23725,198.05671,72.0418
jul,18.45222,23.31491,47.55919,8.18941,1.13413,207.6537,71.23632
aug,18.18563,22.9248,56.58738,8.89058,1.47584,196.64035,72.96806
sep,15.42459,19.83474,51.89589,8.35992,1.39537,150.53709,77.45752
oct,11.95606,15.53555,70.3063,10.86771,1.81459,110.2297,82.65086
nov,8.19876,11.26037,69.29481,11.34659,1.86051,65.30651,85.92374
dec,5.74216,8.56474,63.34733,11.33742,1.29135,50.70628,86.20453
