period_start,mean_temperature,max_temperature
01/01/2001,5.49032,10.86568
02/01/2001,9.6505,10.67253
03/01/2001,6.55994,10.28581
04/01/2001,6.50843,9.3873
05/01/2001,7.0919,7.5991
06/01/2001,5.5731,8.4015
07/01/2001,4.94165,7.78415
08/01/2001,4.86152,7.97778
09/01/2001,2.67123,5.70283
10/01/2001,3.3316,6.17071
11/01/2001,4.80866,5.42644
12/01/2001,5.30154,6.86703
13/01/2001,4.04354,6.99232
14/01/2001,3.95043,7.08309
15/01/2001,3.02588,4.52905
16/01/2001,-0.15626,3.3003
17/01/2001,0.29178,4.2276
18/01/2001,-0.24838,2.80254
19/01/2001,-0.97327,1.85995
20/01/2001,-0.32038,2.36306
21/01/2001,2.13889,6.95322
22/01/2001,5.73238,9.60209
23/01/2001,8.70762,11.98384
24/01/2001,8.3546,10.24341
25/01/2001,6.57805,8.73841
26/01/2001,6.11247,8.68578
27/01/2001,4.34051,7.55358
28/01/2001,2.51567,6.63123
29/01/2001,1.9576,4.19521
30/01/2001,2.02773,4.79288
31/01/2001,4.05873,5.00561
01/02/2001,1.97857,5.95998
02/02/2001,3.7817,8.53115
03/02/2001,7.66759,10.41903
04/02/2001,7.12055,10.22941
05/02/2001,9.0927,11.48216
06/02/2001,9.96319,11.99588
07/02/2001,9.81294,12.21463
08/02/2001,5.67202,6.05097
09/02/2001,3.8139,7.45882
10/02/2001,6.21402,12.18661
11/02/2001,9.40904,13.00175
12/02/2001,10.89357,11.15879
13/02/2001,5.98705,10.25245
14/02/2001,5.38679,10.79959
15/02/2001,5.31088,9.46689
16/02/2001,4.54422,8.92187
17/02/2001,4.49971,8.71651
18/02/2001,4.20753,7.58395
19/02/2001,3.2873,7.54158
20/02/2001,4.56742,9.11495
21/02/2001,7.1021,11.66041
22/02/2001,7.74093,10.18144
23/02/2001,5.59323,7.46642
24/02/2001,3.46461,5.74231
25/02/2001,1.63624,5.77431
26/02/2001,3.45717,7.35174
27/02/2001,3.69297,6.08187
28/02/2001,3.00413,4.1913
01/03/2001,2.29706,3.52161
02/03/2001,0.57339,3.4656
03/03/2001,1.4381,3.56139
04/03/2001,2.56025,4.50191
05/03/2001,1.93719,8.21059
06/03/2001,6.55911,12.75285
07/03/2001,9.96893,15.10539
08/03/2001,8.72539,10.52349
09/03/2001,9.537,12.93091
10/03/2001,11.81273,14.61773
11/03/2001,11.40583,13.22571
12/03/2001,7.29363,11.20827
13/03/2001,6.73834,9.54801
14/03/2001,6.96232,11.67887
15/03/2001,8.21075,10.89434
16/03/2001,7.61309,8.66827
17/03/2001,4.3353,4.8157
18/03/2001,4.15694,6.19595
19/03/2001,3.5512,6.32518
20/03/2001,3.2003,4.65878
21/03/2001,4.50698,6.97433
22/03/2001,8.42131,13.39728
23/03/2001,8.83612,10.97368
24/03/2001,8.42115,9.53848
25/03/2001,5.25575,5.91092
26/03/2001,5.07378,6.90177
27/03/2001,6.52616,9.34949
28/03/2001,8.38046,10.36435
29/03/2001,8.28854,11.77512
30/03/2001,8.96338,13.69661
31/03/2001,11.05055,15.36807
01/04/2001,12.76802,16.03998
02/04/2001,13.98093,19.77475
03/04/2001,10.04188,13.77443
04/04/2001,9.07266,11.31429
05/04/2001,7.66512,11.82347
06/04/2001,10.19303,13.39103
07/04/2001,8.17276,11.62727
08/04/2001,8.36826,12.93272
09/04/2001,11.85381,17.40092
10/04/2001,10.2372,12.58827
11/04/2001,9.33553,12.29411
12/04/2001,9.39274,13.39364
13/04/2001,7.55683,10.86107
14/04/2001,6.42948,11.00508
15/04/2001,9.16754,12.31409
16/04/2001,7.58794,10.26803
17/04/2001,6.15885,11.42991
18/04/2001,6.07219,8.94529
19/04/2001,5.32555,10.04584
20/04/2001,5.45793,8.73633
21/04/2001,6.35535,10.91383
22/04/2001,7.37841,11.57314
23/04/2001,9.96606,13.55385
24/04/2001,8.39583,12.26517
25/04/2001,9.60381,13.37712
26/04/2001,10.26031,14.90317
27/04/2001,10.51875,15.50588
28/04/2001,11.62627,14.52696
29/04/2001,8.93663,12.51304
30/04/2001,8.81365,12.69733
01/05/2001,8.51538,10.43678
02/05/2001,10.42878,14.36164
03/05/2001,11.28737,17.08987
04/05/2001,9.50896,13.39448
05/05/2001,8.18519,13.17399
06/05/2001,8.73083,13.0197
07/05/2001,10.10163,15.72416
08/05/2001,10.3802,16.86669
09/05/2001,10.96527,17.29683
10/05/2001,15.90444,22.89519
11/05/2001,18.4554,25.72117
12/05/2001,16.58656,24.09316
13/05/2001,17.77454,25.34782
