period_start,days_gt_15C,days_gt_20C,days_gt_25C,days_gt_30C
01/01/2001,0,0,0,0
01/02/2001,0,0,0,0
01/03/2001,0,0,0,0
01/04/2001,0,0,0,0
01/05/2001,11,0,0,0
01/06/2001,17,3,0,0
01/07/2001,29,10,0,0
01/08/2001,29,6,0,0
01/09/2001,10,0,0,0
01/10/2001,12,0,0,0
01/11/2001,0,0,0,0
01/12/2001,0,0,0,0
01/01/2002,0,0,0,0
01/02/2002,0,0,0,0
01/03/2002,0,0,0,0
01/04/2002,3,0,0,0
01/05/2002,7,0,0,0
01/06/2002,19,1,0,0
01/07/2002,25,5,0,0
01/08/2002,31,5,0,0
01/09/2002,15,0,0,0
01/10/2002,3,0,0,0
01/11/2002,0,0,0,0
01/12/2002,0,0,0,0
01/01/2003,0,0,0,0
01/02/2003,0,0,0,0
01/03/2003,0,0,0,0
01/04/2003,3,0,0,0
01/05/2003,6,1,0,0
01/06/2003,30,2,0,0
01/07/2003,31,8,0,0
01/08/2003,29,17,4,0
01/09/2003,19,0,0,0
01/10/2003,2,0,0,0
01/11/2003,0,0,0,0
01/12/2003,0,0,0,0
01/01/2004,0,0,0,0
01/02/2004,0,0,0,0
01/03/2004,0,0,0,0
01/04/2004,0,0,0,0
01/05/2004,9,0,0,0
01/06/2004,23,4,0,0
01/07/2004,27,6,0,0
01/08/2004,30,12,0,0
01/09/2004,19,2,0,0
01/10/2004,2,0,0,0
01/11/2004,0,0,0,0
01/12/2004,0,0,0,0
01/01/2005,0,0,0,0
01/02/2005,0,0,0,0
01/03/2005,0,0,0,0
01/04/2005,1,0,0,0
01/05/2005,7,1,0,0
01/06/2005,21,8,0,0
01/07/2005,30,7,0,0
01/08/2005,29,3,0,0
01/09/2005,21,3,0,0
01/10/2005,11,0,0,0
01/11/2005,1,0,0,0
01/12/2005,0,0,0,0
01/01/2006,0,0,0,0
01/02/2006,0,0,0,0
01/03/2006,0,0,0,0
01/04/2006,0,0,0,0
01/05/2006,7,0,0,0
01/06/2006,26,5,0,0
01/07/2006,31,22,2,0
01/08/2006,31,2,0,0
01/09/2006,29,6,0,0
01/10/2006,10,0,0,0
01/11/2006,0,0,0,0
01/12/2006,0,0,0,0
01/01/2007,0,0,0,0
01/02/2007,0,0,0,0
01/03/2007,0,0,0,0
01/04/2007,4,0,0,0
01/05/2007,7,0,0,0
01/06/2007,24,0,0,0
01/07/2007,30,0,0,0
01/08/2007,27,2,0,0
01/09/2007,16,0,0,0
01/10/2007,2,0,0,0
01/11/2007,0,0,0,0
01/12/2007,0,0,0,0
01/01/2008,0,0,0,0
01/02/2008,0,0,0,0
01/03/2008,0,0,0,0
01/04/2008,0,0,0,0
01/05/2008,18,0,0,0
01/06/2008,20,0,0,0
01/07/2008,27,8,0,0
01/08/2008,31,3,0,0
01/09/2008,13,0,0,0
01/10/2008,1,0,0,0
01/11/2008,0,0,0,0
01/12/2008,0,0,0,0
01/01/2009,0,0,0,0
01/02/2009,0,0,0,0
01/03/2009,0,0,0,0
01/04/2009,0,0,0,0
01/05/2009,7,0,0,0
01/06/2009,20,3,0,0
01/07/2009,30,3,0,0
01/08/2009,29,7,0,0
01/09/2009,18,1,0,0
01/10/2009,2,0,0,0
01/11/2009,0,0,0,0
01/12/2009,0,0,0,0
01/01/2010,0,0,0,0
01/02/2010,0,0,0,0
01/03/2010,0,0,0,0
01/04/2010,0,0,0,0
01/05/2010,7,1,0,0
01/06/2010,22,6,0,0
01/07/2010,31,13,0,0
01/08/2010,25,1,0,0
01/09/2010,16,0,0,0
01/10/2010,4,0,0,0
01/11/2010,2,0,0,0
01/12/2010,0,0,0,0
01/01/2011,0,0,0,0
01/02/2011,0,0,0,0
01/03/2011,0,0,0,0
01/04/2011,9,0,0,0
01/05/2011,7,0,0,0
01/06/2011,14,2,0,0
01/07/2011,28,0,0,0
01/08/2011,28,3,0,0
01/09/2011,23,1,0,0
01/10/2011,11,2,0,0
01/11/2011,0,0,0,0
01/12/2011,0,0,0,0
01/01/2012,0,0,0,0
01/02/2012,0,0,0,0
01/03/2012,0,0,0,0
01/04/2012,0,0,0,0
01/05/2012,10,0,0,0
01/06/2012,15,2,0,0
01/07/2012,27,3,0,0
01/08/2012,30,7,0,0
01/09/2012,13,0,0,0
01/10/2012,0,0,0,0
01/11/2012,0,0,0,0
01/12/2012,0,0,0,0
01/01/2013,0,0,0,0
01/02/2013,0,0,0,0
01/03/2013,0,0,0,0
01/04/2013,1,0,0,0
01/05/2013,2,0,0,0
01/06/2013,13,1,0,0
01/07/2013,30,16,0,0
01/08/2013,31,4,0,0
01/09/2013,16,1,0,0
01/10/2013,9,0,0,0
01/11/2013,0,0,0,0
01/12/2013,0,0,0,0
01/01/2014,0,0,0,0
01/02/2014,0,0,0,0
01/03/2014,0,0,0,0
01/04/2014,0,0,0,0
01/05/2014,7,0,0,0
01/06/2014,25,0,0,0
01/07/2014,31,15,0,0
01/08/2014,24,2,0,0
01/09/2014,25,2,0,0
01/10/2014,11,0,0,0
01/11/2014,1,0,0,0
01/12/2014,0,0,0,0
01/01/2015,0,0,0,0
01/02/2015,0,0,0,0
01/03/2015,0,0,0,0
01/04/2015,1,0,0,0
01/05/2015,2,0,0,0
01/06/2015,20,1,0,0
01/07/2015,27,3,1,0
01/08/2015,28,2,0,0
01/09/2015,6,0,0,0
01/10/2015,1,0,0,0
01/11/2015,2,0,0,0
01/12/2015,0,0,0,0
01/01/2016,0,0,0,0
01/02/2016,0,0,0,0
01/03/2016,0,0,0,0
01/04/2016,0,0,0,0
01/05/2016,9,0,0,0
01/06/2016,24,0,0,0
01/07/2016,30,8,1,0
01/08/2016,31,9,0,0
01/09/2016,25,4,0,0
01/10/2016,0,0,0,0
01/11/2016,0,0,0,0
01/12/2016,0,0,0,0
01/01/2017,0,0,0,0
01/02/2017,0,0,0,0
01/03/2017,1,0,0,0
01/04/2017,1,0,0,0
